dataset,model,rmse,rank
abalone,RidgeOneHingeResidualV1,0.721047,31
abalone,StabilityRuleListRidgeV1,0.721047,32
abalone,InteractionAugmentedRidgeV1,0.721047,33
abalone,MassConservingGCVRidgeV1,0.720094,19
abalone,SparseQuantileAdditiveV1,0.819485,69
abalone,CalibratedDominantHingeRidgeV1,0.720888,26
abalone,ValGatedSparseHingeRidgeV1,0.725138,45
abalone,SymbolicResidualRidgeV1,0.721381,37
abalone,CrossFitHingeRidgeV1,0.720930,27
abalone,DualKnotSparseAdditiveRidgeV1,0.721066,34
abalone,ValGatedResidualSymbolicRidgeV1,0.711659,9
abalone,AdaptiveHuberRidgeMapV1,0.720215,20
abalone,SparsePCADenoisedRidgeMapV1,0.722805,40
abalone,CrossValidatedRidgeEquationV1,0.720716,24
abalone,SplitSparseLinearSimulatorV1,0.777765,59
abalone,CalibratedSparseSingleIndexV1,0.769861,57
abalone,SparseSplineBackboneV1,4.659505,71
abalone,StabilityCalibratedLinearMapV1,0.719445,16
abalone,SparseLatentSplineRidgeV1,0.751292,56
abalone,StabilityMassRidgeEquationV2,0.720584,22
cpu_act,PyGAM,0.173718,4
cpu_act,DT_mini,0.253144,18
cpu_act,DT_large,0.226447,11
cpu_act,OLS,0.565065,53
cpu_act,LassoCV,0.742457,60
cpu_act,RidgeCV,0.559656,51
cpu_act,RF,0.199308,6
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,68
cpu_act,FIGS_mini,0.239842,13
cpu_act,FIGS_large,0.199590,7
cpu_act,RuleFit,0.318561,23
cpu_act,HSTree_mini,0.253052,17
cpu_act,HSTree_large,0.224038,10
cpu_act,EBM,0.167552,3
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,15
cpu_act,SparseBasisPursuitV1,0.447399,27
cpu_act,GreedyKnotAdditiveV1,,
cpu_act,SparseSymbolicAdditiveV2,0.365382,25
cpu_act,ResidualRuleLinearV1,0.525706,33
cpu_act,SparseHingeInteractionV1,0.259696,19
cpu_act,RawSymbolicFSV1,0.562485,52
cpu_act,OrthoSymbolicV1,0.692370,58
cpu_act,OrthoSymbolicV2,0.692370,59
cpu_act,KnotSparseAdditiveV1,0.660925,57
cpu_act,SparseLinearRuleGateV1,0.450092,28
cpu_act,GlobalRidgeOneHingeV1,376872.867008,70
cpu_act,StabilitySparseHingeV1,0.229147,12
cpu_act,SparseAdditiveInteractionV1,0.245150,14
cpu_act,StabilityPiecewiseSparseV1,0.262709,20
cpu_act,GCVSparseHingeRidgeV1,0.357889,24
cpu_act,BiRegionSparseLinearV1,0.314856,22
cpu_act,QuantizedSparseRidgeV1,0.541954,39
cpu_act,AdaptiveRidgeOneHingeV1,0.544986,41
cpu_act,RobustSparseRidgeIRLSV1,30.886217,67
cpu_act,DenseRidgeResidualBasisV1,0.275174,21
cpu_act,GreedyAdditiveSplineV1,0.524117,32
cpu_act,CalibratedSparseRidgeMapV1,0.544281,40
cpu_act,AdaptiveElasticHingeMapV1,0.532868,35
cpu_act,SparseSingleIndexSplineV1,0.555169,46
cpu_act,SplitCalibratedSparseLinearV1,0.531178,34
cpu_act,AdaptiveWeightedRidgeSparseV1,0.539759,37
cpu_act,SparseSymbolicAtlasV1,0.223462,9
cpu_act,ResidualizedHingeRidgeV2,0.535980,36
cpu_act,StagewiseSymbolicV1,0.218394,8
cpu_act,ResidualTreeSparseLinearV1,0.636985,55
cpu_act,RiskCalibratedSparseRidgeV1,0.559604,50
cpu_act,SVDGCVRidgeMapV1,0.556976,47
cpu_act,RobustAdaptiveLinearMapV1,0.769917,62
cpu_act,SparseAdditiveBasisPursuitV1,0.973647,65
cpu_act,RidgeOneHingeResidualV1,0.558846,49
cpu_act,StabilityRuleListRidgeV1,0.521237,31
cpu_act,InteractionAugmentedRidgeV1,0.499408,30
cpu_act,MassConservingGCVRidgeV1,0.648721,56
cpu_act,SparseQuantileAdditiveV1,0.765939,61
cpu_act,CalibratedDominantHingeRidgeV1,0.557703,48
cpu_act,ValGatedSparseHingeRidgeV1,0.541356,38
cpu_act,SymbolicResidualRidgeV1,0.458023,29
cpu_act,CrossFitHingeRidgeV1,0.545548,42
cpu_act,DualKnotSparseAdditiveRidgeV1,0.249119,16
cpu_act,ValGatedResidualSymbolicRidgeV1,0.175925,5
cpu_act,AdaptiveHuberRidgeMapV1,30.620037,66
cpu_act,SparsePCADenoisedRidgeMapV1,0.549723,45
cpu_act,CrossValidatedRidgeEquationV1,0.546010,43
cpu_act,SplitSparseLinearSimulatorV1,0.926612,64
cpu_act,CalibratedSparseSingleIndexV1,0.919942,63
cpu_act,SparseSplineBackboneV1,5069.703873,69
cpu_act,StabilityCalibratedLinearMapV1,0.632008,54
cpu_act,SparseLatentSplineRidgeV1,0.423071,26
cpu_act,StabilityMassRidgeEquationV2,0.549255,44
house_16H,PyGAM,0.901921,16
house_16H,DT_mini,1.042565,66
house_16H,DT_large,1.003924,63
house_16H,OLS,1.044770,68
house_16H,LassoCV,1.042664,67
house_16H,RidgeCV,0.937416,36
house_16H,RF,0.829627,3
house_16H,GBM,0.840001,6
house_16H,MLP,1.519955,69
house_16H,FIGS_mini,1.034705,65
house_16H,FIGS_large,1.031391,64
house_16H,RuleFit,0.861472,9
house_16H,HSTree_mini,0.916714,26
house_16H,HSTree_large,0.887148,13
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,61
house_16H,SparseBasisPursuitV1,0.907678,20
house_16H,GreedyKnotAdditiveV1,0.854660,8
house_16H,SparseSymbolicAdditiveV2,0.916517,25
house_16H,ResidualRuleLinearV1,0.897480,14
house_16H,SparseHingeInteractionV1,0.942171,43
house_16H,RawSymbolicFSV1,0.949582,53
house_16H,OrthoSymbolicV1,0.905346,18
house_16H,OrthoSymbolicV2,0.905346,19
house_16H,KnotSparseAdditiveV1,0.902875,17
house_16H,SparseLinearRuleGateV1,0.874721,11
house_16H,GlobalRidgeOneHingeV1,0.938644,38
house_16H,StabilitySparseHingeV1,0.915767,24
house_16H,SparseAdditiveInteractionV1,0.965004,59
house_16H,StabilityPiecewiseSparseV1,0.976653,60
house_16H,GCVSparseHingeRidgeV1,0.988440,62
house_16H,BiRegionSparseLinearV1,0.933432,34
house_16H,QuantizedSparseRidgeV1,0.953866,55
house_16H,AdaptiveRidgeOneHingeV1,0.954987,56
house_16H,RobustSparseRidgeIRLSV1,3.974759,71
house_16H,DenseRidgeResidualBasisV1,0.932997,33
house_16H,GreedyAdditiveSplineV1,0.898597,15
house_16H,CalibratedSparseRidgeMapV1,0.939277,41
house_16H,AdaptiveElasticHingeMapV1,0.940296,42
house_16H,SparseSingleIndexSplineV1,0.922225,30
house_16H,SplitCalibratedSparseLinearV1,0.944502,47
house_16H,AdaptiveWeightedRidgeSparseV1,0.951289,54
house_16H,SparseSymbolicAtlasV1,0.835835,4
house_16H,ResidualizedHingeRidgeV2,0.883550,12
house_16H,StagewiseSymbolicV1,0.862087,10
house_16H,ResidualTreeSparseLinearV1,0.915670,23
house_16H,RiskCalibratedSparseRidgeV1,0.946640,52
house_16H,SVDGCVRidgeMapV1,0.944615,49
house_16H,RobustAdaptiveLinearMapV1,0.945283,51
house_16H,SparseAdditiveBasisPursuitV1,0.854301,7
house_16H,RidgeOneHingeResidualV1,0.939145,40
house_16H,StabilityRuleListRidgeV1,0.920174,28
house_16H,InteractionAugmentedRidgeV1,0.944615,50
house_16H,MassConservingGCVRidgeV1,0.944509,48
house_16H,SparseQuantileAdditiveV1,0.838576,5
house_16H,CalibratedDominantHingeRidgeV1,0.944425,46
house_16H,ValGatedSparseHingeRidgeV1,0.955028,57
house_16H,SymbolicResidualRidgeV1,0.930000,31
house_16H,CrossFitHingeRidgeV1,0.934233,35
house_16H,DualKnotSparseAdditiveRidgeV1,0.958076,58
house_16H,ValGatedResidualSymbolicRidgeV1,0.920919,29
house_16H,AdaptiveHuberRidgeMapV1,2.919044,70
house_16H,SparsePCADenoisedRidgeMapV1,0.942569,44
house_16H,CrossValidatedRidgeEquationV1,0.938391,37
house_16H,SplitSparseLinearSimulatorV1,0.913100,22
house_16H,CalibratedSparseSingleIndexV1,0.911002,21
house_16H,SparseSplineBackboneV1,0.939124,39
house_16H,StabilityCalibratedLinearMapV1,0.931142,32
house_16H,SparseLatentSplineRidgeV1,0.918090,27
house_16H,StabilityMassRidgeEquationV2,0.944193,45
elevators,PyGAM,0.375632,2
elevators,DT_mini,0.743616,49
elevators,DT_large,0.704357,43
elevators,OLS,0.903981,62
elevators,LassoCV,0.904215,63
elevators,RidgeCV,0.876481,59
elevators,RF,0.623118,38
elevators,GBM,0.522039,37
elevators,MLP,0.983679,68
elevators,FIGS_mini,0.748350,50
elevators,FIGS_large,0.676476,40
elevators,RuleFit,0.679608,41
elevators,HSTree_mini,0.751891,51
elevators,HSTree_large,0.723031,46
elevators,EBM,0.397748,7
elevators,TabPFN,0.292012,1
elevators,DecisionTreeSimple,0.726676,47
elevators,SparseBasisPursuitV1,0.989332,69
elevators,GreedyKnotAdditiveV1,0.872243,58
elevators,SparseSymbolicAdditiveV2,0.867718,57
elevators,ResidualRuleLinearV1,0.651191,39
elevators,SparseHingeInteractionV1,0.686559,42
elevators,RawSymbolicFSV1,0.921839,65
elevators,OrthoSymbolicV1,0.898228,60
elevators,OrthoSymbolicV2,0.898228,61
elevators,KnotSparseAdditiveV1,0.914461,64
elevators,SparseLinearRuleGateV1,0.512454,36
elevators,GlobalRidgeOneHingeV1,1.240959,71
elevators,StabilitySparseHingeV1,0.397721,6
elevators,SparseAdditiveInteractionV1,0.379934,4
elevators,StabilityPiecewiseSparseV1,0.432501,29
elevators,GCVSparseHingeRidgeV1,0.477725,35
elevators,BiRegionSparseLinearV1,0.419642,11
elevators,QuantizedSparseRidgeV1,0.434670,31
elevators,AdaptiveRidgeOneHingeV1,0.430476,27
elevators,RobustSparseRidgeIRLSV1,0.454456,34
elevators,DenseRidgeResidualBasisV1,0.381147,5
elevators,GreedyAdditiveSplineV1,0.400556,8
elevators,CalibratedSparseRidgeMapV1,0.420566,13
elevators,AdaptiveElasticHingeMapV1,0.420309,12
elevators,SparseSingleIndexSplineV1,0.422891,15
elevators,SplitCalibratedSparseLinearV1,0.422135,14
elevators,AdaptiveWeightedRidgeSparseV1,0.429876,23
elevators,SparseSymbolicAtlasV1,0.831361,55
elevators,ResidualizedHingeRidgeV2,0.722645,45
elevators,StagewiseSymbolicV1,0.790796,54
elevators,ResidualTreeSparseLinearV1,0.714094,44
elevators,RiskCalibratedSparseRidgeV1,0.429422,16
elevators,SVDGCVRidgeMapV1,0.429422,17
elevators,RobustAdaptiveLinearMapV1,0.965385,67
elevators,SparseAdditiveBasisPursuitV1,0.951010,66
elevators,RidgeOneHingeResidualV1,0.429877,24
elevators,StabilityRuleListRidgeV1,0.416101,10
elevators,InteractionAugmentedRidgeV1,0.429422,18
elevators,MassConservingGCVRidgeV1,1.125521,70
elevators,SparseQuantileAdditiveV1,0.831577,56
elevators,CalibratedDominantHingeRidgeV1,0.429457,19
elevators,ValGatedSparseHingeRidgeV1,0.429756,21
elevators,SymbolicResidualRidgeV1,0.434223,30
