dataset,model,rmse,rank
elevators,HingeEBM_v1,0.423457,8
elevators,HingeGBM_v1,0.597768,13
elevators,LassoCV,0.904215,40
elevators,MLP,0.983679,41
elevators,OLS,0.903981,39
elevators,PyGAM,0.375632,2
elevators,RF,0.623118,14
elevators,RidgeCV,0.876481,38
elevators,RuleFit,0.679608,31
elevators,SklearnGAM_hybrid,0.661252,27
elevators,SklearnStumpGAM_v1,0.646801,21
elevators,SmartAddGAM_r90,0.646771,18
elevators,SmartAdditive_v1,0.646771,19
elevators,SmartAdditive_v2,0.661653,29
elevators,SmartAdditive_v5,0.661653,28
elevators,SmoothGAM_40s,0.628239,16
elevators,SmoothGAM_50s,0.623649,15
elevators,SmoothGAM_ES,0.648382,23
elevators,SmoothGAM_RF,0.578152,10
elevators,SmoothGAM_RF100,0.578314,11
elevators,SmoothGAM_RF_sqrt,0.585584,12
elevators,SmoothGAM_hybrid,0.656008,24
elevators,SmoothGAM_noES,0.657612,25
elevators,SmoothGAM_r70hyb,0.657612,26
elevators,SmoothGAM_tinyGBM,0.639269,17
elevators,SmoothGAM_v1,0.648382,22
elevators,TabPFN,0.292012,1
house_16H,DT_large,1.003924,29
house_16H,DT_mini,1.042565,30
house_16H,DistilledGAM_v1,0.824116,15
house_16H,EBM,0.761079,3
house_16H,FIGS_large,1.071380,33
house_16H,FIGS_mini,1.101182,34
house_16H,FullPWC_LinDisp,0.800160,11
house_16H,GBM,0.840001,21
house_16H,HSTree_large,0.887148,24
house_16H,HSTree_mini,0.916714,27
house_16H,HingeEBM_5bag,0.760921,2
house_16H,HingeEBM_LinDisp,0.762384,5
house_16H,HingeEBM_big,0.764634,7
house_16H,HingeEBM_smart,0.762384,6
house_16H,HingeEBM_v1,0.762278,4
house_16H,HingeGBM_v1,0.834274,20
house_16H,LassoCV,1.042664,31
house_16H,MLP,1.519955,41
house_16H,OLS,1.044770,32
house_16H,PyGAM,0.901921,26
house_16H,RF,0.829627,18
house_16H,RidgeCV,0.937416,28
house_16H,RuleFit,0.861472,23
house_16H,SklearnGAM_hybrid,1.348323,38
house_16H,SklearnStumpGAM_v1,0.800264,13
house_16H,SmartAddGAM_r90,0.800160,9
house_16H,SmartAdditive_v1,0.800160,10
house_16H,SmartAdditive_v2,0.800160,12
house_16H,SmartAdditive_v5,0.800160,8
house_16H,SmoothGAM_40s,0.832703,19
house_16H,SmoothGAM_50s,0.826766,17
house_16H,SmoothGAM_ES,1.334001,37
house_16H,SmoothGAM_RF,0.847216,22
house_16H,SmoothGAM_RF100,0.825481,16
house_16H,SmoothGAM_RF_sqrt,0.807537,14
house_16H,SmoothGAM_hybrid,1.334001,35
house_16H,SmoothGAM_noES,1.348323,39
house_16H,SmoothGAM_r70hyb,1.348323,40
house_16H,SmoothGAM_tinyGBM,0.890446,25
house_16H,SmoothGAM_v1,1.334001,36
house_16H,TabPFN,0.728232,1
kin8nm,DT_large,0.890079,41
kin8nm,DT_mini,0.877689,40
kin8nm,DistilledGAM_v1,0.798588,15
kin8nm,EBM,0.715820,8
kin8nm,FIGS_large,0.802428,16
kin8nm,FIGS_mini,0.849805,36
kin8nm,FullPWC_LinDisp,0.808914,22
kin8nm,GBM,0.755496,9
kin8nm,HSTree_large,0.870956,38
kin8nm,HSTree_mini,0.874538,39
kin8nm,HingeEBM_5bag,0.709978,4
kin8nm,HingeEBM_LinDisp,0.714865,6
kin8nm,HingeEBM_big,0.709921,3
kin8nm,HingeEBM_smart,0.714865,7
kin8nm,HingeEBM_v1,0.713894,5
kin8nm,HingeGBM_v1,0.759435,10
kin8nm,LassoCV,0.811735,30
kin8nm,MLP,0.491650,2
kin8nm,OLS,0.811674,28
kin8nm,PyGAM,0.804420,17
kin8nm,RF,0.781796,12
kin8nm,RidgeCV,0.811697,29
kin8nm,RuleFit,0.870177,37
kin8nm,SklearnGAM_hybrid,0.811800,31
kin8nm,SklearnStumpGAM_v1,0.808914,23
kin8nm,SmartAddGAM_r90,0.811808,34
kin8nm,SmartAdditive_v1,0.808914,21
kin8nm,SmartAdditive_v2,0.810141,27
kin8nm,SmartAdditive_v5,0.810141,26
kin8nm,SmoothGAM_40s,0.807785,19
kin8nm,SmoothGAM_50s,0.807295,18
kin8nm,SmoothGAM_ES,0.809285,25
kin8nm,SmoothGAM_RF,0.783306,13
kin8nm,SmoothGAM_RF100,0.784075,14
kin8nm,SmoothGAM_RF_sqrt,0.780913,11
kin8nm,SmoothGAM_hybrid,0.812889,35
kin8nm,SmoothGAM_noES,0.811800,32
kin8nm,SmoothGAM_r70hyb,0.811800,33
kin8nm,SmoothGAM_tinyGBM,0.808835,20
kin8nm,SmoothGAM_v1,0.809285,24
kin8nm,TabPFN,0.376809,1
pmlb/1027_ESL,DT_large,0.529210,38
pmlb/1027_ESL,DT_mini,0.576479,41
pmlb/1027_ESL,DistilledGAM_v1,0.372072,16
pmlb/1027_ESL,EBM,0.364431,8
pmlb/1027_ESL,FIGS_large,0.437071,35
pmlb/1027_ESL,FIGS_mini,0.539162,39
pmlb/1027_ESL,FullPWC_LinDisp,0.378513,32
pmlb/1027_ESL,GBM,0.380681,34
pmlb/1027_ESL,HSTree_large,0.519495,37
pmlb/1027_ESL,HSTree_mini,0.575679,40
pmlb/1027_ESL,HingeEBM_5bag,0.363906,7
pmlb/1027_ESL,HingeEBM_LinDisp,0.368538,11
pmlb/1027_ESL,HingeEBM_big,0.361792,3
pmlb/1027_ESL,HingeEBM_smart,0.368538,12
pmlb/1027_ESL,HingeEBM_v1,0.369633,14
pmlb/1027_ESL,HingeGBM_v1,0.366445,10
pmlb/1027_ESL,LassoCV,0.361351,2
pmlb/1027_ESL,MLP,0.370737,15
pmlb/1027_ESL,OLS,0.361241,1
pmlb/1027_ESL,PyGAM,0.374026,27
pmlb/1027_ESL,RF,0.463850,36
pmlb/1027_ESL,RidgeCV,0.361933,4
pmlb/1027_ESL,RuleFit,0.366258,9
pmlb/1027_ESL,SklearnGAM_hybrid,0.372799,25
pmlb/1027_ESL,SklearnStumpGAM_v1,0.378513,33
pmlb/1027_ESL,SmartAddGAM_r90,0.368751,13
pmlb/1027_ESL,SmartAdditive_v1,0.378513,31
pmlb/1027_ESL,SmartAdditive_v2,0.362393,6
pmlb/1027_ESL,SmartAdditive_v5,0.362393,5
pmlb/1027_ESL,SmoothGAM_40s,0.372799,22
pmlb/1027_ESL,SmoothGAM_50s,0.372799,23
pmlb/1027_ESL,SmoothGAM_ES,0.375791,30
pmlb/1027_ESL,SmoothGAM_RF,0.372799,17
pmlb/1027_ESL,SmoothGAM_RF100,0.372799,19
pmlb/1027_ESL,SmoothGAM_RF_sqrt,0.372799,20
pmlb/1027_ESL,SmoothGAM_hybrid,0.375001,28
pmlb/1027_ESL,SmoothGAM_noES,0.372799,18
pmlb/1027_ESL,SmoothGAM_r70hyb,0.372799,24
pmlb/1027_ESL,SmoothGAM_tinyGBM,0.372799,21
pmlb/1027_ESL,SmoothGAM_v1,0.375791,29
pmlb/1027_ESL,TabPFN,0.373296,26
pmlb/1028_SWD,DT_large,0.793244,9
pmlb/1028_SWD,DT_mini,0.832135,41
pmlb/1028_SWD,DistilledGAM_v1,0.803767,18
pmlb/1028_SWD,EBM,0.798100,10
pmlb/1028_SWD,FIGS_large,0.789555,4
pmlb/1028_SWD,FIGS_mini,0.805813,25
pmlb/1028_SWD,FullPWC_LinDisp,0.805371,23
pmlb/1028_SWD,GBM,0.784908,2
pmlb/1028_SWD,HSTree_large,0.798450,11
pmlb/1028_SWD,HSTree_mini,0.829304,40
pmlb/1028_SWD,HingeEBM_5bag,0.799148,13
pmlb/1028_SWD,HingeEBM_LinDisp,0.803285,16
pmlb/1028_SWD,HingeEBM_big,0.800127,14
pmlb/1028_SWD,HingeEBM_smart,0.803285,17
pmlb/1028_SWD,HingeEBM_v1,0.802877,15
pmlb/1028_SWD,HingeGBM_v1,0.791138,8
pmlb/1028_SWD,LassoCV,0.814599,31
pmlb/1028_SWD,MLP,0.798779,12
pmlb/1028_SWD,OLS,0.814927,32
pmlb/1028_SWD,PyGAM,0.805003,21
pmlb/1028_SWD,RF,0.785704,3
pmlb/1028_SWD,RidgeCV,0.814285,30
pmlb/1028_SWD,RuleFit,0.818640,38
pmlb/1028_SWD,SklearnGAM_hybrid,0.816228,35
pmlb/1028_SWD,SklearnStumpGAM_v1,0.805371,24
pmlb/1028_SWD,SmartAddGAM_r90,0.812541,28
pmlb/1028_SWD,SmartAdditive_v1,0.805371,22
pmlb/1028_SWD,SmartAdditive_v2,0.812541,29
pmlb/1028_SWD,SmartAdditive_v5,0.812541,27
pmlb/1028_SWD,SmoothGAM_40s,0.804728,20
pmlb/1028_SWD,SmoothGAM_50s,0.804008,19
pmlb/1028_SWD,SmoothGAM_ES,0.815753,34
pmlb/1028_SWD,SmoothGAM_RF,0.790360,6
pmlb/1028_SWD,SmoothGAM_RF100,0.789857,5
pmlb/1028_SWD,SmoothGAM_RF_sqrt,0.790441,7
pmlb/1028_SWD,SmoothGAM_hybrid,0.822968,39
pmlb/1028_SWD,SmoothGAM_noES,0.816228,36
pmlb/1028_SWD,SmoothGAM_r70hyb,0.816228,37
pmlb/1028_SWD,SmoothGAM_tinyGBM,0.806539,26
pmlb/1028_SWD,SmoothGAM_v1,0.815753,33
pmlb/1028_SWD,TabPFN,0.784088,1
pmlb/1029_LEV,DT_large,0.765185,39
pmlb/1029_LEV,DT_mini,0.812829,41
pmlb/1029_LEV,DistilledGAM_v1,0.713676,27
pmlb/1029_LEV,EBM,0.709299,19
pmlb/1029_LEV,FIGS_large,0.717258,33
pmlb/1029_LEV,FIGS_mini,0.744305,37
pmlb/1029_LEV,FullPWC_LinDisp,0.714451,29
pmlb/1029_LEV,GBM,0.718917,34
pmlb/1029_LEV,HSTree_large,0.761625,38
pmlb/1029_LEV,HSTree_mini,0.810150,40
pmlb/1029_LEV,HingeEBM_5bag,0.708259,13
pmlb/1029_LEV,HingeEBM_LinDisp,0.707165,7
pmlb/1029_LEV,HingeEBM_big,0.709492,20
pmlb/1029_LEV,HingeEBM_smart,0.707165,8
pmlb/1029_LEV,HingeEBM_v1,0.707094,6
pmlb/1029_LEV,HingeGBM_v1,0.706096,4
pmlb/1029_LEV,LassoCV,0.712556,25
pmlb/1029_LEV,MLP,0.714825,31
pmlb/1029_LEV,OLS,0.712676,26
pmlb/1029_LEV,PyGAM,0.715125,32
pmlb/1029_LEV,RF,0.730984,36
pmlb/1029_LEV,RidgeCV,0.712073,24
pmlb/1029_LEV,RuleFit,0.730124,35
pmlb/1029_LEV,SklearnGAM_hybrid,0.707522,9
pmlb/1029_LEV,SklearnStumpGAM_v1,0.714451,30
pmlb/1029_LEV,SmartAddGAM_r90,0.709036,15
pmlb/1029_LEV,SmartAdditive_v1,0.714451,28
pmlb/1029_LEV,SmartAdditive_v2,0.709036,16
pmlb/1029_LEV,SmartAdditive_v5,0.709036,14
pmlb/1029_LEV,SmoothGAM_40s,0.710394,22
pmlb/1029_LEV,SmoothGAM_50s,0.710406,23
pmlb/1029_LEV,SmoothGAM_ES,0.709118,18
pmlb/1029_LEV,SmoothGAM_RF,0.705262,2
pmlb/1029_LEV,SmoothGAM_RF100,0.704835,1
pmlb/1029_LEV,SmoothGAM_RF_sqrt,0.705471,3
pmlb/1029_LEV,SmoothGAM_hybrid,0.707522,11
pmlb/1029_LEV,SmoothGAM_noES,0.707522,10
pmlb/1029_LEV,SmoothGAM_r70hyb,0.707522,12
pmlb/1029_LEV,SmoothGAM_tinyGBM,0.710263,21
pmlb/1029_LEV,SmoothGAM_v1,0.709118,17
pmlb/1029_LEV,TabPFN,0.706397,5
pmlb/1030_ERA,DT_large,0.816910,34
pmlb/1030_ERA,DT_mini,0.837160,40
pmlb/1030_ERA,DistilledGAM_v1,0.814465,31
pmlb/1030_ERA,EBM,0.799223,1
pmlb/1030_ERA,FIGS_large,0.822820,37
pmlb/1030_ERA,FIGS_mini,0.831024,38
pmlb/1030_ERA,FullPWC_LinDisp,0.810728,17
pmlb/1030_ERA,GBM,0.815968,33
pmlb/1030_ERA,HSTree_large,0.821592,36
pmlb/1030_ERA,HSTree_mini,0.837160,41
pmlb/1030_ERA,HingeEBM_5bag,0.806172,6
pmlb/1030_ERA,HingeEBM_LinDisp,0.806246,7
pmlb/1030_ERA,HingeEBM_big,0.805149,4
pmlb/1030_ERA,HingeEBM_smart,0.806246,8
pmlb/1030_ERA,HingeEBM_v1,0.809192,14
pmlb/1030_ERA,HingeGBM_v1,0.809208,15
pmlb/1030_ERA,LassoCV,0.808425,13
pmlb/1030_ERA,MLP,0.806530,10
pmlb/1030_ERA,OLS,0.808339,11
pmlb/1030_ERA,PyGAM,0.815581,32
pmlb/1030_ERA,RF,0.811911,21
pmlb/1030_ERA,RidgeCV,0.808370,12
pmlb/1030_ERA,RuleFit,0.832883,39
pmlb/1030_ERA,SklearnGAM_hybrid,0.813600,25
pmlb/1030_ERA,SklearnStumpGAM_v1,0.810728,18
pmlb/1030_ERA,SmartAddGAM_r90,0.818668,35
pmlb/1030_ERA,SmartAdditive_v1,0.810728,16
pmlb/1030_ERA,SmartAdditive_v2,0.814331,30
pmlb/1030_ERA,SmartAdditive_v5,0.814331,29
pmlb/1030_ERA,SmoothGAM_40s,0.813405,24
pmlb/1030_ERA,SmoothGAM_50s,0.813333,23
pmlb/1030_ERA,SmoothGAM_ES,0.811882,20
pmlb/1030_ERA,SmoothGAM_RF,0.803023,2
pmlb/1030_ERA,SmoothGAM_RF100,0.804923,3
pmlb/1030_ERA,SmoothGAM_RF_sqrt,0.806352,9
pmlb/1030_ERA,SmoothGAM_hybrid,0.813035,22
pmlb/1030_ERA,SmoothGAM_noES,0.813600,26
pmlb/1030_ERA,SmoothGAM_r70hyb,0.813600,27
pmlb/1030_ERA,SmoothGAM_tinyGBM,0.813908,28
pmlb/1030_ERA,SmoothGAM_v1,0.811882,19
pmlb/1030_ERA,TabPFN,0.805567,5
pmlb/1089_USCrime,DT_large,0.451548,31
pmlb/1089_USCrime,DT_mini,0.424073,30
pmlb/1089_USCrime,DistilledGAM_v1,0.575734,40
pmlb/1089_USCrime,EBM,0.306072,6
pmlb/1089_USCrime,FIGS_large,0.510195,39
pmlb/1089_USCrime,FIGS_mini,0.466245,36
pmlb/1089_USCrime,FullPWC_LinDisp,0.359481,11
pmlb/1089_USCrime,GBM,0.462335,33
pmlb/1089_USCrime,HSTree_large,0.465630,35
pmlb/1089_USCrime,HSTree_mini,0.459856,32
pmlb/1089_USCrime,HingeEBM_5bag,0.268626,4
pmlb/1089_USCrime,HingeEBM_LinDisp,0.264959,1
pmlb/1089_USCrime,HingeEBM_big,0.273116,5
pmlb/1089_USCrime,HingeEBM_smart,0.264959,2
pmlb/1089_USCrime,HingeEBM_v1,0.265502,3
pmlb/1089_USCrime,HingeGBM_v1,0.313486,7
pmlb/1089_USCrime,LassoCV,0.382452,16
pmlb/1089_USCrime,MLP,56.552592,41
pmlb/1089_USCrime,OLS,0.469238,37
pmlb/1089_USCrime,PyGAM,0.465245,34
pmlb/1089_USCrime,RF,0.423608,29
pmlb/1089_USCrime,RidgeCV,0.479195,38
pmlb/1089_USCrime,RuleFit,0.395474,17
pmlb/1089_USCrime,SklearnGAM_hybrid,0.375742,15
pmlb/1089_USCrime,SklearnStumpGAM_v1,0.359427,9
pmlb/1089_USCrime,SmartAddGAM_r90,0.359783,12
pmlb/1089_USCrime,SmartAdditive_v1,0.359481,10
pmlb/1089_USCrime,SmartAdditive_v2,0.361421,14
pmlb/1089_USCrime,SmartAdditive_v5,0.361421,13
pmlb/1089_USCrime,SmoothGAM_40s,0.397186,23
pmlb/1089_USCrime,SmoothGAM_50s,0.397186,24
pmlb/1089_USCrime,SmoothGAM_ES,0.416879,28
pmlb/1089_USCrime,SmoothGAM_RF,0.397186,18
pmlb/1089_USCrime,SmoothGAM_RF100,0.397186,20
pmlb/1089_USCrime,SmoothGAM_RF_sqrt,0.397186,21
pmlb/1089_USCrime,SmoothGAM_hybrid,0.410206,26
pmlb/1089_USCrime,SmoothGAM_noES,0.397186,19
pmlb/1089_USCrime,SmoothGAM_r70hyb,0.397186,25
pmlb/1089_USCrime,SmoothGAM_tinyGBM,0.397186,22
pmlb/1089_USCrime,SmoothGAM_v1,0.416879,27
pmlb/1089_USCrime,TabPFN,0.346980,8
pmlb/1096_FacultySalaries,DT_large,0.620941,35
pmlb/1096_FacultySalaries,DT_mini,0.628538,37
pmlb/1096_FacultySalaries,DistilledGAM_v1,0.426896,18
pmlb/1096_FacultySalaries,EBM,0.504250,29
pmlb/1096_FacultySalaries,FIGS_large,0.620941,36
pmlb/1096_FacultySalaries,FIGS_mini,0.628538,38
pmlb/1096_FacultySalaries,FullPWC_LinDisp,0.502695,27
pmlb/1096_FacultySalaries,GBM,0.510927,31
pmlb/1096_FacultySalaries,HSTree_large,0.578986,33
pmlb/1096_FacultySalaries,HSTree_mini,0.586722,34
pmlb/1096_FacultySalaries,HingeEBM_5bag,0.465173,22
pmlb/1096_FacultySalaries,HingeEBM_LinDisp,0.443908,19
pmlb/1096_FacultySalaries,HingeEBM_big,0.474366,23
pmlb/1096_FacultySalaries,HingeEBM_smart,0.443908,20
pmlb/1096_FacultySalaries,HingeEBM_v1,0.453798,21
pmlb/1096_FacultySalaries,HingeGBM_v1,0.564749,32
pmlb/1096_FacultySalaries,LassoCV,0.416282,16
pmlb/1096_FacultySalaries,MLP,2.091116,41
pmlb/1096_FacultySalaries,OLS,0.364659,2
pmlb/1096_FacultySalaries,PyGAM,0.410171,15
