dataset,model,rmse,rank
cpu_act,DT_large,0.226447,31
cpu_act,OLS,0.565065,47
cpu_act,LassoCV,0.742457,50
cpu_act,RidgeCV,0.559656,46
cpu_act,RF,0.199308,26
cpu_act,GBM,0.158850,5
cpu_act,MLP,912.810974,57
cpu_act,FIGS_mini,0.239842,32
cpu_act,FIGS_large,0.199590,27
cpu_act,RuleFit,0.318561,37
cpu_act,HSTree_mini,0.253052,34
cpu_act,HSTree_large,0.224038,30
cpu_act,EBM,0.167552,19
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,33
cpu_act,SparseHingeOMP_q2575_v1,0.208832,28
cpu_act,LinResStumpOMP_v1,0.594354,48
cpu_act,SparseKnotAbsInt_v1,0.352776,39
cpu_act,SparseLinHingeRefine_v1,0.979340,52
cpu_act,RuleGateSparseLin_v1,1.004833,53
cpu_act,SparseRidgeHingeGCV_v1,1.067380,55
cpu_act,RidgeResidualSymbolic_v1,0.935452,51
cpu_act,DenseSplineResidual_v1,0.468861,40
cpu_act,SparseModelTree_v1,1.039261,54
cpu_act,QuantizedSparseBasis_v1,0.210583,29
cpu_act,StagewiseHingeAdditive_v1,0.190491,25
cpu_act,SparseTriBinAdditive_v1,0.541862,41
cpu_act,ValidatedSparseSpline_v1,0.557331,43
cpu_act,SnapRidgeOneKnot_v1,0.559604,45
cpu_act,DenseRidgeAdaptiveSpline_v1,0.265359,36
cpu_act,ComplexityRoundedRidge_v1,0.674056,49
cpu_act,SparseSignedBasisPursuit_v1,0.328391,38
cpu_act,CompactSplineRidge_v1,3.260240,56
cpu_act,OrthSparseAdditive_v1,0.547218,42
cpu_act,CognitiveRidgeOneHinge_v1,0.177456,24
cpu_act,AnchorSplineRidge_v1,0.176059,23
cpu_act,MDLHybridSymbolic_v1,0.559537,44
cpu_act,DualPathBoostedSymbolic_v1,0.165895,18
cpu_act,DistilledSparsePiecewise_v1,0.158992,6
cpu_act,TeacherStudentRuleSpline_v1,0.161407,14
cpu_act,TeacherStudentSpectralRuleSpline_v1,0.159416,7
cpu_act,TeacherStudentCompactDistill_v1,0.160027,8
cpu_act,CalibratedSparseHingeStudent_v1,0.160519,10
cpu_act,SparseGateDistilledBoost_v1,0.170982,21
cpu_act,TransparentDistilledForestBoost_v1,0.163344,15
cpu_act,DualPathSparseSymbolic_v1,,
cpu_act,DualPathSparseSymbolic_v2,0.163714,17
cpu_act,HGBLinearAuditAtlas_v1,0.158473,4
cpu_act,CalibratedBoostAuditAtlas_v1,0.163465,16
cpu_act,ValGatedTeacherAuditAtlas_v1,0.155434,2
cpu_act,AdaptiveStackedTeacherAuditAtlas_v1,0.161294,13
cpu_act,TabPFNResidualAuditAtlas_v1,0.160576,11
cpu_act,CalibratedTabPFNForestAtlas_v1,0.168290,20
