dataset,model,rmse,rank
pmlb/1028_SWD,HSTree_mini,0.829304,16
pmlb/1028_SWD,HSTree_large,0.798450,7
pmlb/1028_SWD,EBM,0.798100,6
pmlb/1028_SWD,TabPFN,0.784088,1
pmlb/1028_SWD,HingeEBM_7bag,0.801421,9
pmlb/1029_LEV,PyGAM,0.715125,8
pmlb/1029_LEV,DT_mini,0.812829,17
pmlb/1029_LEV,DT_large,0.765185,15
pmlb/1029_LEV,OLS,0.712676,6
pmlb/1029_LEV,LassoCV,0.712556,5
pmlb/1029_LEV,RidgeCV,0.712073,4
pmlb/1029_LEV,RF,0.730984,12
pmlb/1029_LEV,GBM,0.718917,10
pmlb/1029_LEV,MLP,0.714825,7
pmlb/1029_LEV,FIGS_mini,0.744305,13
pmlb/1029_LEV,FIGS_large,0.717258,9
pmlb/1029_LEV,RuleFit,0.730124,11
pmlb/1029_LEV,HSTree_mini,0.810150,16
pmlb/1029_LEV,HSTree_large,0.761625,14
pmlb/1029_LEV,EBM,0.709299,3
pmlb/1029_LEV,TabPFN,0.706397,1
pmlb/1029_LEV,HingeEBM_7bag,0.708709,2
pmlb/1030_ERA,PyGAM,0.815581,9
pmlb/1030_ERA,DT_mini,0.837160,16
pmlb/1030_ERA,DT_large,0.816910,11
pmlb/1030_ERA,OLS,0.808339,5
pmlb/1030_ERA,LassoCV,0.808425,7
pmlb/1030_ERA,RidgeCV,0.808370,6
pmlb/1030_ERA,RF,0.811911,8
pmlb/1030_ERA,GBM,0.815968,10
pmlb/1030_ERA,MLP,0.806530,4
pmlb/1030_ERA,FIGS_mini,0.831024,14
pmlb/1030_ERA,FIGS_large,0.822820,13
pmlb/1030_ERA,RuleFit,0.832883,15
pmlb/1030_ERA,HSTree_mini,0.837160,17
pmlb/1030_ERA,HSTree_large,0.821592,12
pmlb/1030_ERA,EBM,0.799223,1
pmlb/1030_ERA,TabPFN,0.805567,2
pmlb/1030_ERA,HingeEBM_7bag,0.806452,3
pmlb/1089_USCrime,PyGAM,0.465245,11
pmlb/1089_USCrime,DT_mini,0.424073,7
pmlb/1089_USCrime,DT_large,0.451548,8
pmlb/1089_USCrime,OLS,0.469238,13
pmlb/1089_USCrime,LassoCV,0.382452,4
pmlb/1089_USCrime,RidgeCV,0.479195,14
pmlb/1089_USCrime,RF,0.423608,6
pmlb/1089_USCrime,GBM,0.462335,10
pmlb/1089_USCrime,MLP,56.552592,17
pmlb/1089_USCrime,FIGS_mini,0.534122,16
pmlb/1089_USCrime,FIGS_large,0.510195,15
pmlb/1089_USCrime,RuleFit,0.395474,5
pmlb/1089_USCrime,HSTree_mini,0.459856,9
pmlb/1089_USCrime,HSTree_large,0.465630,12
pmlb/1089_USCrime,EBM,0.306072,2
pmlb/1089_USCrime,TabPFN,0.346980,3
pmlb/1089_USCrime,HingeEBM_7bag,0.262665,1
pmlb/1096_FacultySalaries,PyGAM,0.410171,4
pmlb/1096_FacultySalaries,DT_mini,0.628538,15
pmlb/1096_FacultySalaries,DT_large,0.620941,13
pmlb/1096_FacultySalaries,OLS,0.364659,2
pmlb/1096_FacultySalaries,LassoCV,0.416282,5
pmlb/1096_FacultySalaries,RidgeCV,0.381891,3
pmlb/1096_FacultySalaries,RF,0.486246,7
pmlb/1096_FacultySalaries,GBM,0.510927,10
pmlb/1096_FacultySalaries,MLP,2.091116,17
pmlb/1096_FacultySalaries,FIGS_mini,0.628538,16
pmlb/1096_FacultySalaries,FIGS_large,0.620941,14
pmlb/1096_FacultySalaries,RuleFit,0.510835,9
pmlb/1096_FacultySalaries,HSTree_mini,0.586722,12
pmlb/1096_FacultySalaries,HSTree_large,0.578986,11
pmlb/1096_FacultySalaries,EBM,0.504250,8
pmlb/1096_FacultySalaries,TabPFN,0.275576,1
pmlb/1096_FacultySalaries,HingeEBM_7bag,0.451346,6
pmlb/1191_BNG_pbc,PyGAM,0.862047,5
pmlb/1191_BNG_pbc,DT_mini,0.929181,14
pmlb/1191_BNG_pbc,DT_large,0.930181,15
pmlb/1191_BNG_pbc,OLS,0.870524,7
pmlb/1191_BNG_pbc,LassoCV,0.924760,13
pmlb/1191_BNG_pbc,RidgeCV,0.871396,8
pmlb/1191_BNG_pbc,RF,0.869216,6
pmlb/1191_BNG_pbc,GBM,0.860402,4
pmlb/1191_BNG_pbc,MLP,2.834234,17
pmlb/1191_BNG_pbc,FIGS_mini,0.918014,11
pmlb/1191_BNG_pbc,FIGS_large,0.942724,16
pmlb/1191_BNG_pbc,RuleFit,0.871873,9
pmlb/1191_BNG_pbc,HSTree_mini,0.921734,12
pmlb/1191_BNG_pbc,HSTree_large,0.901627,10
pmlb/1191_BNG_pbc,EBM,0.849706,2
pmlb/1191_BNG_pbc,TabPFN,0.833502,1
pmlb/1191_BNG_pbc,HingeEBM_7bag,0.853426,3
pmlb/1193_BNG_lowbwt,PyGAM,0.662464,6
pmlb/1193_BNG_lowbwt,DT_mini,0.670626,12
pmlb/1193_BNG_lowbwt,DT_large,0.687092,16
pmlb/1193_BNG_lowbwt,OLS,0.670820,13
pmlb/1193_BNG_lowbwt,LassoCV,0.670610,11
pmlb/1193_BNG_lowbwt,RidgeCV,0.670887,14
pmlb/1193_BNG_lowbwt,RF,0.660360,5
pmlb/1193_BNG_lowbwt,GBM,0.665525,7
pmlb/1193_BNG_lowbwt,MLP,0.671479,15
pmlb/1193_BNG_lowbwt,FIGS_mini,0.665872,8
pmlb/1193_BNG_lowbwt,FIGS_large,0.698200,17
pmlb/1193_BNG_lowbwt,RuleFit,0.660247,4
pmlb/1193_BNG_lowbwt,HSTree_mini,0.669669,10
pmlb/1193_BNG_lowbwt,HSTree_large,0.668142,9
pmlb/1193_BNG_lowbwt,EBM,0.656352,3
pmlb/1193_BNG_lowbwt,TabPFN,0.647797,1
pmlb/1193_BNG_lowbwt,HingeEBM_7bag,0.656107,2
pmlb/1196_BNG_pharynx,PyGAM,0.736410,3
pmlb/1196_BNG_pharynx,DT_mini,0.773482,15
pmlb/1196_BNG_pharynx,DT_large,0.798557,17
pmlb/1196_BNG_pharynx,OLS,0.766474,13
pmlb/1196_BNG_pharynx,LassoCV,0.768754,14
pmlb/1196_BNG_pharynx,RidgeCV,0.766429,12
pmlb/1196_BNG_pharynx,RF,0.740705,4
pmlb/1196_BNG_pharynx,GBM,0.744022,6
pmlb/1196_BNG_pharynx,MLP,0.759865,9
pmlb/1196_BNG_pharynx,FIGS_mini,0.758618,8
pmlb/1196_BNG_pharynx,FIGS_large,0.794826,16
pmlb/1196_BNG_pharynx,RuleFit,0.744078,7
pmlb/1196_BNG_pharynx,HSTree_mini,0.764356,11
pmlb/1196_BNG_pharynx,HSTree_large,0.762744,10
pmlb/1196_BNG_pharynx,EBM,0.740754,5
pmlb/1196_BNG_pharynx,TabPFN,0.725232,1
pmlb/1196_BNG_pharynx,HingeEBM_7bag,0.734732,2
pmlb/1199_BNG_echoMonths,PyGAM,0.746425,7
pmlb/1199_BNG_echoMonths,DT_mini,0.771996,15
pmlb/1199_BNG_echoMonths,DT_large,0.806700,17
pmlb/1199_BNG_echoMonths,OLS,0.745226,6
pmlb/1199_BNG_echoMonths,LassoCV,0.744498,4
pmlb/1199_BNG_echoMonths,RidgeCV,0.744894,5
pmlb/1199_BNG_echoMonths,RF,0.753821,11
pmlb/1199_BNG_echoMonths,GBM,0.753559,10
pmlb/1199_BNG_echoMonths,MLP,0.751409,9
pmlb/1199_BNG_echoMonths,FIGS_mini,0.763507,13
pmlb/1199_BNG_echoMonths,FIGS_large,0.797306,16
pmlb/1199_BNG_echoMonths,RuleFit,0.750700,8
pmlb/1199_BNG_echoMonths,HSTree_mini,0.762011,12
pmlb/1199_BNG_echoMonths,HSTree_large,0.764153,14
pmlb/1199_BNG_echoMonths,EBM,0.742197,3
pmlb/1199_BNG_echoMonths,TabPFN,0.741591,1
pmlb/1199_BNG_echoMonths,HingeEBM_7bag,0.741955,2
pmlb/1201_BNG_breastTumor,PyGAM,0.946619,4
pmlb/1201_BNG_breastTumor,DT_mini,0.957695,8
pmlb/1201_BNG_breastTumor,DT_large,0.987525,16
pmlb/1201_BNG_breastTumor,OLS,0.979405,13
pmlb/1201_BNG_breastTumor,LassoCV,0.989234,17
pmlb/1201_BNG_breastTumor,RidgeCV,0.979533,14
pmlb/1201_BNG_breastTumor,RF,0.952681,7
pmlb/1201_BNG_breastTumor,GBM,0.952500,6
pmlb/1201_BNG_breastTumor,MLP,0.978552,12
pmlb/1201_BNG_breastTumor,FIGS_mini,0.948690,5
pmlb/1201_BNG_breastTumor,FIGS_large,0.980280,15
pmlb/1201_BNG_breastTumor,RuleFit,0.959659,9
pmlb/1201_BNG_breastTumor,HSTree_mini,0.966196,10
pmlb/1201_BNG_breastTumor,HSTree_large,0.966370,11
pmlb/1201_BNG_breastTumor,EBM,0.938657,1
pmlb/1201_BNG_breastTumor,TabPFN,0.940593,3
pmlb/1201_BNG_breastTumor,HingeEBM_7bag,0.940556,2
pmlb/1203_BNG_pwLinear,PyGAM,0.704947,14
pmlb/1203_BNG_pwLinear,DT_mini,0.681387,13
pmlb/1203_BNG_pwLinear,DT_large,0.678855,11
pmlb/1203_BNG_pwLinear,OLS,0.705672,15
pmlb/1203_BNG_pwLinear,LassoCV,0.705699,16
pmlb/1203_BNG_pwLinear,RidgeCV,0.705941,17
pmlb/1203_BNG_pwLinear,RF,0.661040,6
pmlb/1203_BNG_pwLinear,GBM,0.651384,2
pmlb/1203_BNG_pwLinear,MLP,0.675877,9
pmlb/1203_BNG_pwLinear,FIGS_mini,0.660677,5
pmlb/1203_BNG_pwLinear,FIGS_large,0.677869,10
pmlb/1203_BNG_pwLinear,RuleFit,0.662021,7
pmlb/1203_BNG_pwLinear,HSTree_mini,0.681066,12
pmlb/1203_BNG_pwLinear,HSTree_large,0.666267,8
