dataset,model,rmse,rank
california,PyGAM,1.428598,12
california,DT_mini,0.797055,9
california,DT_large,0.784121,7
california,OLS,2.191360,15
california,LassoCV,2.087627,13
california,RidgeCV,2.178053,14
california,RF,0.718275,2
california,GBM,0.650275,1
california,MLP,1.088485,11
california,FIGS_mini,0.754661,5
california,FIGS_large,0.737994,3
california,RuleFit,0.741651,4
california,HSTree_mini,0.795105,8
california,HSTree_large,0.768189,6
california,TreeGAM,0.885868,10
abalone,PyGAM,0.705364,1
abalone,DT_mini,0.794185,11
abalone,DT_large,0.797057,12
abalone,OLS,0.721231,4
abalone,LassoCV,0.720338,3
abalone,RidgeCV,0.721876,5
abalone,RF,0.732093,6
abalone,GBM,0.735919,7
abalone,MLP,0.708886,2
abalone,FIGS_mini,0.793158,10
abalone,FIGS_large,0.801452,14
abalone,RuleFit,0.784597,9
abalone,HSTree_mini,0.800492,13
abalone,HSTree_large,0.769955,8
abalone,TreeGAM,0.986843,15
cpu_act,PyGAM,0.173718,2
cpu_act,DT_mini,0.253144,9
cpu_act,DT_large,0.226447,6
cpu_act,OLS,0.565065,12
cpu_act,LassoCV,0.742457,13
cpu_act,RidgeCV,0.559656,11
cpu_act,RF,0.199308,3
cpu_act,GBM,0.158850,1
cpu_act,MLP,912.810974,15
cpu_act,FIGS_mini,0.239842,7
cpu_act,FIGS_large,0.199590,4
cpu_act,RuleFit,0.318561,10
cpu_act,HSTree_mini,0.253052,8
cpu_act,HSTree_large,0.224038,5
cpu_act,TreeGAM,0.946709,14
house_16H,PyGAM,0.901921,6
house_16H,DT_mini,1.042565,11
house_16H,DT_large,1.003924,9
house_16H,OLS,1.044770,13
house_16H,LassoCV,1.042664,12
house_16H,RidgeCV,0.937416,8
house_16H,RF,0.829627,1
house_16H,GBM,0.840001,2
house_16H,MLP,1.519955,15
house_16H,FIGS_mini,1.101182,14
house_16H,FIGS_large,1.031391,10
house_16H,RuleFit,0.861472,3
house_16H,HSTree_mini,0.916714,7
house_16H,HSTree_large,0.887148,4
house_16H,TreeGAM,0.896074,5
elevators,PyGAM,0.375632,1
elevators,DT_mini,0.743616,8
elevators,DT_large,0.704357,6
elevators,OLS,0.903981,13
elevators,LassoCV,0.904215,14
elevators,RidgeCV,0.876481,12
elevators,RF,0.623118,3
elevators,GBM,0.522039,2
elevators,MLP,0.983679,15
elevators,FIGS_mini,0.748350,9
elevators,FIGS_large,0.674543,4
elevators,RuleFit,0.679608,5
elevators,HSTree_mini,0.751891,10
elevators,HSTree_large,0.723031,7
elevators,TreeGAM,0.866960,11
pol,PyGAM,0.560109,10
pol,DT_mini,0.428720,9
pol,DT_large,0.396094,5
pol,OLS,0.736752,13
pol,LassoCV,0.735603,11
pol,RidgeCV,0.736447,12
pol,RF,0.321564,1
pol,GBM,0.324350,2
pol,MLP,0.765400,15
pol,FIGS_mini,0.419883,7
pol,FIGS_large,0.396600,6
pol,RuleFit,0.333827,3
pol,HSTree_mini,0.427436,8
pol,HSTree_large,0.385188,4
pol,TreeGAM,0.736800,14
kin8nm,PyGAM,0.804420,5
kin8nm,DT_mini,0.877689,13
kin8nm,DT_large,0.890079,14
kin8nm,OLS,0.811674,6
kin8nm,LassoCV,0.811735,8
kin8nm,RidgeCV,0.811697,7
kin8nm,RF,0.781796,3
kin8nm,GBM,0.755496,2
kin8nm,MLP,0.491650,1
kin8nm,FIGS_mini,0.849805,9
kin8nm,FIGS_large,0.802428,4
kin8nm,RuleFit,0.870177,10
kin8nm,HSTree_mini,0.874538,12
kin8nm,HSTree_large,0.870956,11
kin8nm,TreeGAM,0.952616,15
pmlb/1027_ESL,PyGAM,0.374026,6
pmlb/1027_ESL,DT_mini,0.576479,14
pmlb/1027_ESL,DT_large,0.529210,11
pmlb/1027_ESL,OLS,0.361241,1
pmlb/1027_ESL,LassoCV,0.361351,2
pmlb/1027_ESL,RidgeCV,0.361933,3
pmlb/1027_ESL,RF,0.463850,9
pmlb/1027_ESL,GBM,0.380681,7
pmlb/1027_ESL,MLP,0.370737,5
pmlb/1027_ESL,FIGS_mini,0.539162,12
pmlb/1027_ESL,FIGS_large,0.437071,8
pmlb/1027_ESL,RuleFit,0.366258,4
pmlb/1027_ESL,HSTree_mini,0.575679,13
pmlb/1027_ESL,HSTree_large,0.519495,10
pmlb/1027_ESL,TreeGAM,0.715178,15
pmlb/1028_SWD,PyGAM,0.805003,7
pmlb/1028_SWD,DT_mini,0.832135,14
pmlb/1028_SWD,DT_large,0.793244,4
pmlb/1028_SWD,OLS,0.814927,11
pmlb/1028_SWD,LassoCV,0.814599,10
pmlb/1028_SWD,RidgeCV,0.814285,9
