dataset,model,rmse,rank
cpu_act,DT_large,0.226447,17
cpu_act,OLS,0.565065,45
cpu_act,LassoCV,0.742457,49
cpu_act,RidgeCV,0.559656,41
cpu_act,RF,0.199308,10
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,60
cpu_act,FIGS_mini,0.239842,22
cpu_act,FIGS_large,0.199590,11
cpu_act,RuleFit,0.318561,27
cpu_act,HSTree_mini,0.253052,25
cpu_act,HSTree_large,0.224038,16
cpu_act,EBM,0.167552,3
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,24
cpu_act,SparseHingeAdd_v1,0.220044,15
cpu_act,SparseSymbolicGreedy_v1,0.849728,52
cpu_act,AnchorSplineOMP_v1,0.201635,12
cpu_act,ResidualKnotRidge_v1,0.182880,8
cpu_act,SplitSparseLinear_v1,0.231572,20
cpu_act,SparseKnotLinear_v2,0.552165,37
cpu_act,CompactResidualSpline_v1,0.242029,23
cpu_act,SparseAdditiveKnot_v1,0.209431,13
cpu_act,CompactRuleLinear_v1,0.544020,33
cpu_act,ResidualBasisRidge_v1,0.173630,4
cpu_act,SparseResidualHybrid_v1,0.175497,6
cpu_act,ValidatedSymbolicResidual_v1,0.186232,9
cpu_act,SparseRidgeOneHinge_v1,0.681085,48
cpu_act,DenseBackboneHingePair_v1,0.559459,40
cpu_act,ScreenedAdaptiveBasis_v1,0.179583,7
cpu_act,SparseQuantizedKnot_v1,0.657991,47
cpu_act,SymbolicResidualHybridDense_v1,0.233298,21
cpu_act,BackfitHingeGAM_v1,0.983382,58
cpu_act,ProjectedSplineResidual_v1,0.962578,55
cpu_act,SparseSignedHingeDict_v1,0.226907,18
cpu_act,SparsePairwiseSpline_v1,0.652379,46
cpu_act,QuantizedAdaptiveRidge_v1,0.963904,56
cpu_act,QuantizedAdaptiveRidge_v2,0.963904,57
cpu_act,DenseRidgeOneKnot_v1,,
cpu_act,DenseRidgeOneKnot_v2,0.228802,19
cpu_act,LinearStepRule_v1,0.459231,29
cpu_act,TwinHingeAdditiveRidge_v1,0.560604,44
cpu_act,AdditiveStepRidge_v1,0.522062,30
cpu_act,ScoreSplineLinear_v1,0.546343,34
cpu_act,AdaptiveStepLinear_v1,0.550650,35
cpu_act,DebiasedSparseLinear_v1,0.552436,38
cpu_act,SpectralRidgeCV_v1,0.558846,39
cpu_act,ResidualStumpRidge_v1,0.543373,32
cpu_act,SingleIndexSpline_v1,0.560056,42
cpu_act,SingleIndexSpline_v2,0.560056,43
cpu_act,GreedyMedianHinge_v1,0.918600,54
cpu_act,RobustAdaptiveLinear_v1,0.756811,50
cpu_act,SparseAdditiveHingeRidge_v1,0.218372,14
cpu_act,LinearBoostedRules_v1,1.235487,59
cpu_act,SparseMeanHingeAdditive_v1,0.770053,51
cpu_act,SplitLinearModelTree_v1,0.365887,28
cpu_act,OrthogonalRidgeEquation_v1,0.550650,36
cpu_act,SparseAdaptiveSplineRidge_v1,0.891590,53
cpu_act,SparseLinearRuleBoost_v1,0.525154,31
house_16H,PyGAM,0.901921,26
house_16H,DT_mini,1.042565,56
house_16H,DT_large,1.003924,53
house_16H,OLS,1.044770,58
house_16H,LassoCV,1.042664,57
house_16H,RidgeCV,0.937416,41
house_16H,RF,0.829627,7
house_16H,GBM,0.840001,10
house_16H,MLP,1.519955,60
house_16H,FIGS_mini,1.034705,55
house_16H,FIGS_large,1.031391,54
house_16H,RuleFit,0.861472,11
house_16H,HSTree_mini,0.916714,34
house_16H,HSTree_large,0.887148,19
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,52
house_16H,SparseHingeAdd_v1,0.811454,4
house_16H,SparseSymbolicGreedy_v1,0.883762,16
house_16H,AnchorSplineOMP_v1,0.829594,6
house_16H,ResidualKnotRidge_v1,0.955856,50
house_16H,SplitSparseLinear_v1,0.877635,13
house_16H,SparseKnotLinear_v2,0.933904,40
house_16H,CompactResidualSpline_v1,0.885532,18
house_16H,SparseAdditiveKnot_v1,0.830954,8
house_16H,CompactRuleLinear_v1,0.892518,22
house_16H,ResidualBasisRidge_v1,0.838534,9
house_16H,SparseResidualHybrid_v1,0.895485,25
house_16H,ValidatedSymbolicResidual_v1,0.880311,15
