dataset,model,rmse,rank
abalone,SparseTailSplineRidge_v1,0.702724,6
abalone,AdaptiveWeightedGCVRidge_v1,0.720870,32
abalone,CompactResidualHingeAdd_v1,0.701249,5
abalone,TriRegionGateSparse_v1,0.720596,29
abalone,SignalWeightedTrimmedRidge_v1,0.714290,19
abalone,SparseKnotAdditive_v1,0.691300,2
abalone,BoostedBinPair_v1,,
abalone,BoostedBinPair_v2,0.816736,64
cpu_act,PyGAM,0.173718,5
cpu_act,DT_mini,0.253144,21
cpu_act,DT_large,0.226447,17
cpu_act,OLS,0.565065,48
cpu_act,LassoCV,0.742457,58
cpu_act,RidgeCV,0.559656,45
cpu_act,RF,0.199308,12
cpu_act,GBM,0.158850,2
cpu_act,MLP,912.810974,67
cpu_act,FIGS_mini,0.239842,18
cpu_act,FIGS_large,0.199590,13
cpu_act,RuleFit,0.318561,25
cpu_act,HSTree_mini,0.253052,20
cpu_act,HSTree_large,0.224038,16
cpu_act,EBM,0.167552,3
cpu_act,TabPFN,0.138888,1
cpu_act,DecisionTreeSimple,0.248805,19
cpu_act,SparseAddHinge_v1,0.329998,26
cpu_act,ResidualRuleLin_v1,0.442888,35
cpu_act,SparseSymAdd_v2,0.401270,32
cpu_act,StagewisePiece_v1,0.548700,40
cpu_act,SparseRootLin_v1,0.332799,27
cpu_act,SparseTailHinge_v1,,
cpu_act,SparseTailHinge_v2,0.184663,6
cpu_act,MonoBinAdd_v1,0.716951,55
cpu_act,OrthoPieceAdd_v1,0.184730,7
cpu_act,SparseHierInter_v1,0.726873,56
cpu_act,SparseOrthoPoly_v1,0.306537,24
cpu_act,GateLinTree_v1,1.090637,63
cpu_act,AdaptiveCalSparse_v1,0.401768,33
cpu_act,ResQuantRule_v1,0.798113,59
cpu_act,SparseCalHinge_v1,0.389261,31
cpu_act,QuantSparseSymbolic_v1,0.289305,23
cpu_act,SparseBackfitBins_v1,0.666639,51
cpu_act,HingeSplineRule_v1,0.983035,62
cpu_act,SparseResidInter_v1,0.678847,52
cpu_act,SparsePwAnchor_v1,0.263562,22
cpu_act,SparseGateResid_v1,0.210895,15
cpu_act,FeatMapInter_v1,0.369035,30
cpu_act,DistillSparseRidge_v1,0.736733,57
cpu_act,PrunedSymRidge_v1,0.601893,49
cpu_act,GreedyHingeEq_v1,8.933949,66
cpu_act,SparseBinShape_v1,1.121158,64
cpu_act,HybridRidgeHinge_v1,0.203565,14
cpu_act,StableSparseLOORidge_v1,0.538055,38
cpu_act,SpectralPruneRidge_v1,0.553630,42
cpu_act,DualMapStabilityRidge_v1,0.343251,28
cpu_act,SparseMedianHinge_v1,0.955067,61
cpu_act,ResidualSnapSpline_v1,0.542294,39
cpu_act,BaggedMedianStableRidge_v1,0.552706,41
cpu_act,StabWeightRidge_v1,0.559206,43
cpu_act,RidgeGarroteStable_v1,0.559292,44
cpu_act,AdaptiveSplineRidge_v1,1.284242,65
cpu_act,SparseQuantileGAM_v1,0.416917,34
cpu_act,ResidualRuleRidgeHybrid_v1,0.533240,37
cpu_act,SparseSmoothBackfit_v1,0.689569,53
cpu_act,BasisSwitchRidge_v1,0.184882,8
cpu_act,HuberRidgeIRLS_v1,0.822993,60
cpu_act,ResidualTanhRidge_v1,0.503096,36
cpu_act,SparseResidualQuadRidge_v1,0.197386,11
cpu_act,ComplexityDistilledRidge_v1,0.560274,46
cpu_act,SparseTailSplineRidge_v1,0.186707,10
cpu_act,AdaptiveWeightedGCVRidge_v1,0.562457,47
cpu_act,CompactResidualHingeAdd_v1,0.172941,4
cpu_act,TriRegionGateSparse_v1,0.637025,50
cpu_act,SignalWeightedTrimmedRidge_v1,0.361341,29
cpu_act,SparseKnotAdditive_v1,0.185607,9
cpu_act,BoostedBinPair_v1,,
cpu_act,BoostedBinPair_v2,0.692261,54
house_16H,PyGAM,0.901921,34
house_16H,DT_mini,1.042565,63
house_16H,DT_large,1.003924,60
house_16H,OLS,1.044770,65
house_16H,LassoCV,1.042664,64
house_16H,RidgeCV,0.937416,46
house_16H,RF,0.829627,9
house_16H,GBM,0.840001,17
house_16H,MLP,1.519955,66
house_16H,FIGS_mini,1.034705,62
house_16H,FIGS_large,1.031391,61
house_16H,RuleFit,0.861472,20
house_16H,HSTree_mini,0.916714,38
house_16H,HSTree_large,0.887148,27
house_16H,EBM,0.761079,2
house_16H,TabPFN,0.728232,1
house_16H,DecisionTreeSimple,0.987097,59
house_16H,SparseAddHinge_v1,0.919124,42
house_16H,ResidualRuleLin_v1,0.876609,24
house_16H,SparseSymAdd_v2,0.880270,26
house_16H,StagewisePiece_v1,0.909018,36
house_16H,SparseRootLin_v1,0.888073,28
house_16H,SparseTailHinge_v1,,
house_16H,SparseTailHinge_v2,0.876940,25
house_16H,MonoBinAdd_v1,0.833411,13
house_16H,OrthoPieceAdd_v1,0.830340,10
house_16H,SparseHierInter_v1,0.952058,56
house_16H,SparseOrthoPoly_v1,0.894137,32
house_16H,GateLinTree_v1,0.928303,43
house_16H,AdaptiveCalSparse_v1,0.839757,16
house_16H,ResQuantRule_v1,0.890510,30
house_16H,SparseCalHinge_v1,0.856648,19
house_16H,QuantSparseSymbolic_v1,0.869283,22
house_16H,SparseBackfitBins_v1,0.816798,4
house_16H,HingeSplineRule_v1,3.356035,67
house_16H,SparseResidInter_v1,0.939722,48
house_16H,SparsePwAnchor_v1,0.918192,40
house_16H,SparseGateResid_v1,0.938360,47
house_16H,FeatMapInter_v1,0.837467,14
house_16H,DistillSparseRidge_v1,0.950193,55
house_16H,PrunedSymRidge_v1,0.943215,50
house_16H,GreedyHingeEq_v1,0.935821,45
house_16H,SparseBinShape_v1,0.821409,6
house_16H,HybridRidgeHinge_v1,0.912183,37
house_16H,StableSparseLOORidge_v1,0.935146,44
house_16H,SpectralPruneRidge_v1,0.954492,57
house_16H,DualMapStabilityRidge_v1,0.875353,23
house_16H,SparseMedianHinge_v1,0.895529,33
house_16H,ResidualSnapSpline_v1,0.917555,39
house_16H,BaggedMedianStableRidge_v1,0.961414,58
house_16H,StabWeightRidge_v1,0.945888,53
house_16H,RidgeGarroteStable_v1,0.946372,54
house_16H,AdaptiveSplineRidge_v1,0.849254,18
house_16H,SparseQuantileGAM_v1,0.832211,11
house_16H,ResidualRuleRidgeHybrid_v1,0.906578,35
house_16H,SparseSmoothBackfit_v1,0.832615,12
house_16H,BasisSwitchRidge_v1,0.820707,5
house_16H,HuberRidgeIRLS_v1,0.865060,21
house_16H,ResidualTanhRidge_v1,0.943130,49
house_16H,SparseResidualQuadRidge_v1,0.918794,41
house_16H,ComplexityDistilledRidge_v1,0.944789,51
house_16H,SparseTailSplineRidge_v1,0.812356,3
house_16H,AdaptiveWeightedGCVRidge_v1,0.945671,52
house_16H,CompactResidualHingeAdd_v1,0.826725,8
house_16H,TriRegionGateSparse_v1,0.889322,29
house_16H,SignalWeightedTrimmedRidge_v1,0.891885,31
house_16H,SparseKnotAdditive_v1,0.821805,7
house_16H,BoostedBinPair_v1,,
house_16H,BoostedBinPair_v2,0.839247,15
elevators,PyGAM,0.375632,3
elevators,DT_mini,0.743616,48
elevators,DT_large,0.704357,44
elevators,OLS,0.903981,63
elevators,LassoCV,0.904215,64
elevators,RidgeCV,0.876481,61
elevators,RF,0.623118,34
elevators,GBM,0.522039,28
elevators,MLP,0.983679,67
elevators,FIGS_mini,0.748350,50
elevators,FIGS_large,0.676476,36
elevators,RuleFit,0.679608,37
elevators,HSTree_mini,0.751891,51
elevators,HSTree_large,0.723031,45
elevators,EBM,0.397748,8
elevators,TabPFN,0.292012,1
